number;title;kp_rating;imbd_rating;year;url;_utc_timestamp
260;Троя;8.022;7.2;2004;https://www.kinopoisk.ru/film/3442;2020-01-03 11:24:19
278;Тропы славы;8.08;8.4;1957;https://www.kinopoisk.ru/film/360;2020-01-03 11:24:19
466;Триумф;7.842;7.4;2005;https://www.kinopoisk.ru/film/77795;2020-01-03 11:24:27
334;Три тополя на Плющихе;8.108;7.8;1968;https://www.kinopoisk.ru/film/42308;2020-01-03 11:24:19
460;Три плюс два;8.028;7.4;1963;https://www.kinopoisk.ru/film/46792;2020-01-03 11:24:27
219;Три идиота;8.059;8.4;2009;https://www.kinopoisk.ru/film/423210;2020-01-03 11:24:19
167;Три билборда на границе Эббинга, Миссури;8.166;8.2;2017;https://www.kinopoisk.ru/film/944098;2020-01-03 11:24:11
492;Тренировочный день;7.831;7.7;2001;https://www.kinopoisk.ru/film/863;2020-01-03 11:24:27
175;Тренер Картер;8.041;7.3;2005;https://www.kinopoisk.ru/film/77531;2020-01-03 11:24:11
201;Трасса 60;8.015;7.7;2001;https://www.kinopoisk.ru/film/3563;2020-01-03 11:24:19
480;Трамвай «Желание»;8.028;8.0;1951;https://www.kinopoisk.ru/film/486;2020-01-03 11:24:27
170;Тот самый Мюнхгаузен  (ТВ);8.276;8.5;1979;https://www.kinopoisk.ru/film/77283;2020-01-03 11:24:11
472;Токийская повесть;8.032;8.2;1953;https://www.kinopoisk.ru/film/79836;2020-01-03 11:24:27
455;Тихий Дон;8.132;7.8;1957;https://www.kinopoisk.ru/film/42248;2020-01-03 11:24:27
40;Титаник;8.365;7.8;1997;https://www.kinopoisk.ru/film/2213;2020-01-03 11:24:11
58;Терминатор 2: Судный день;8.307;8.5;1991;https://www.kinopoisk.ru/film/444;2020-01-03 11:24:11
451;Терминатор;7.972;8.0;1984;https://www.kinopoisk.ru/film/507;2020-01-03 11:24:27
141;Терминал;8.069;7.3;2004;https://www.kinopoisk.ru/film/6877;2020-01-03 11:24:11
91;Темный рыцарь: Возрождение легенды;8.138;8.4;2012;https://www.kinopoisk.ru/film/437410;2020-01-03 11:24:11
39;Темный рыцарь;8.5;9.0;2008;https://www.kinopoisk.ru/film/111543;2020-01-03 11:24:11
468;Телохранитель;8.011;8.2;1961;https://www.kinopoisk.ru/film/445;2020-01-03 11:24:27
176;Твоё имя;8.308;8.4;2016;https://www.kinopoisk.ru/film/958722;2020-01-03 11:24:11
135;Танцующий с волками;8.11;8.0;1990;https://www.kinopoisk.ru/film/2037;2020-01-03 11:24:11
394;Танцующая в темноте;7.943;8.0;2000;https://www.kinopoisk.ru/film/646;2020-01-03 11:24:19
420;Такси;7.892;7.0;1998;https://www.kinopoisk.ru/film/14349;2020-01-03 11:24:27
326;Тайна третьей планеты;8.017;8.0;1981;https://www.kinopoisk.ru/film/42172;2020-01-03 11:24:19
32;Тайна Коко;8.597;8.4;2017;https://www.kinopoisk.ru/film/679486;2020-01-03 11:24:11
437;Таинственная река;7.796;7.9;2003;https://www.kinopoisk.ru/film/3730;2020-01-03 11:24:27
94;Счастливое число Слевина;8.112;7.7;2005;https://www.kinopoisk.ru/film/86326;2020-01-03 11:24:11
183;Схватка;8.034;8.2;1995;https://www.kinopoisk.ru/film/571;2020-01-03 11:24:11
271;Сука-любовь;7.915;8.1;2000;https://www.kinopoisk.ru/film/488;2020-01-03 11:24:19
81;Судьба человека;8.368;8.0;1959;https://www.kinopoisk.ru/film/44027;2020-01-03 11:24:11
223;Столкновение;7.886;7.8;2004;https://www.kinopoisk.ru/film/61297;2020-01-03 11:24:19
294;Стена;8.109;8.1;1982;https://www.kinopoisk.ru/film/23712;2020-01-03 11:24:19
232;Старший сын  (ТВ);8.174;8.0;1975;https://www.kinopoisk.ru/film/43982;2020-01-03 11:24:19
500;Старая, старая сказка;8.07;7.5;1968;https://www.kinopoisk.ru/film/43974;2020-01-03 11:24:27
259;Стальной гигант;8.069;8.0;1999;https://www.kinopoisk.ru/film/538;2020-01-03 11:24:19
300;Сталкер;8.084;8.2;1979;https://www.kinopoisk.ru/film/43970;2020-01-03 11:24:19
4;Список Шиндлера;8.817;8.9;1993;https://www.kinopoisk.ru/film/329;2020-01-03 11:24:11
359;Спирит: Душа прерий;8.089;7.1;2002;https://www.kinopoisk.ru/film/839;2020-01-03 11:24:19
77;Спасти рядового Райана;8.178;8.6;1998;https://www.kinopoisk.ru/film/371;2020-01-03 11:24:11
372;Спасатель;7.96;6.9;2006;https://www.kinopoisk.ru/film/104921;2020-01-03 11:24:19
322;Сонная Лощина;7.948;7.3;1999;https://www.kinopoisk.ru/film/5622;2020-01-03 11:24:19
467;Солярис;8.013;8.1;1972;https://www.kinopoisk.ru/film/43911;2020-01-03 11:24:27
272;Совершенный мир;7.962;7.6;1993;https://www.kinopoisk.ru/film/8178;2020-01-03 11:24:19
61;Собачье сердце  (ТВ);8.343;8.7;1988;https://www.kinopoisk.ru/film/77335;2020-01-03 11:24:11
262;Смех и горе у Бела моря;8.101;7.7;1988;https://www.kinopoisk.ru/film/279828;2020-01-03 11:24:19
410;Смертельное оружие;7.968;7.6;1987;https://www.kinopoisk.ru/film/15061;2020-01-03 11:24:27
346;Служили два товарища;8.163;8.0;1968;https://www.kinopoisk.ru/film/43870;2020-01-03 11:24:19
90;Служебный роман;8.29;8.3;1977;https://www.kinopoisk.ru/film/43869;2020-01-03 11:24:11
448;Сладкая жизнь;8.01;8.0;1960;https://www.kinopoisk.ru/film/7722;2020-01-03 11:24:27
144;Славные парни;8.117;8.7;1990;https://www.kinopoisk.ru/film/350;2020-01-03 11:24:11
379;Скала;7.941;7.4;1996;https://www.kinopoisk.ru/film/2333;2020-01-03 11:24:19
385;Сережа;8.136;7.8;1960;https://www.kinopoisk.ru/film/43700;2020-01-03 11:24:19
158;Семь самураев;8.153;8.6;1954;https://www.kinopoisk.ru/film/332;2020-01-03 11:24:11
130;Семь жизней;8.178;7.6;2008;https://www.kinopoisk.ru/film/395787;2020-01-03 11:24:11
54;Семь;8.295;8.6;1995;https://www.kinopoisk.ru/film/377;2020-01-03 11:24:11
252;Секреты Лос-Анджелеса;7.929;8.2;1997;https://www.kinopoisk.ru/film/363;2020-01-03 11:24:19
330;Седьмая печать;8.073;8.2;1957;https://www.kinopoisk.ru/film/425;2020-01-03 11:24:19
386;Святые из Бундока;7.946;7.8;1999;https://www.kinopoisk.ru/film/4917;2020-01-03 11:24:19
108;Свидетель обвинения;8.159;8.4;1957;https://www.kinopoisk.ru/film/489;2020-01-03 11:24:11
312;Сансет бульвар;7.996;8.4;1950;https://www.kinopoisk.ru/film/353;2020-01-03 11:24:19
140;Самый быстрый Indian;8.028;7.8;2005;https://www.kinopoisk.ru/film/81512;2020-01-03 11:24:11
138;Рэй;8.051;7.7;2004;https://www.kinopoisk.ru/film/5319;2020-01-03 11:24:11
237;Русалочка;8.208;7.6;1989;https://www.kinopoisk.ru/film/8147;2020-01-03 11:24:19
152;Ромео и Джульетта;8.211;7.6;1968;https://www.kinopoisk.ru/film/15204;2020-01-03 11:24:11
418;Рокко и его братья;8.053;8.3;1960;https://www.kinopoisk.ru/film/13540;2020-01-03 11:24:27
380;Рок-волна;7.881;7.4;2009;https://www.kinopoisk.ru/film/416824;2020-01-03 11:24:19
406;Робин Гуд;8.072;7.6;1973;https://www.kinopoisk.ru/film/17579;2020-01-03 11:24:27
87;Римские каникулы;8.274;8.0;1953;https://www.kinopoisk.ru/film/497;2020-01-03 11:24:11
263;Республика ШКИД;8.176;7.9;1966;https://www.kinopoisk.ru/film/42088;2020-01-03 11:24:19
241;Реквием по мечте;7.982;8.3;2000;https://www.kinopoisk.ru/film/367;2020-01-03 11:24:19
422;Ребекка;7.961;8.1;1940;https://www.kinopoisk.ru/film/426;2020-01-03 11:24:27
328;Реальная любовь;7.911;7.6;2003;https://www.kinopoisk.ru/film/6144;2020-01-03 11:24:19
216;Рататуй;7.955;8.0;2007;https://www.kinopoisk.ru/film/89514;2020-01-03 11:24:19
352;Расёмон;8.017;8.2;1950;https://www.kinopoisk.ru/film/388;2020-01-03 11:24:19
229;Рапунцель: Запутанная история;7.94;7.7;2010;https://www.kinopoisk.ru/film/84049;2020-01-03 11:24:19
332;Разрисованная вуаль;7.914;7.5;2006;https://www.kinopoisk.ru/film/102201;2020-01-03 11:24:19
114;Пятый элемент;8.076;7.7;1997;https://www.kinopoisk.ru/film/2656;2020-01-03 11:24:11
298;Путь Карлито;7.964;7.9;1993;https://www.kinopoisk.ru/film/4275;2020-01-03 11:24:19
188;Психо;8.086;8.5;1960;https://www.kinopoisk.ru/film/344;2020-01-03 11:24:11
248;Профессионал;8.114;7.6;1981;https://www.kinopoisk.ru/film/39259;2020-01-03 11:24:19
488;Простая история;7.825;8.0;1999;https://www.kinopoisk.ru/film/442;2020-01-03 11:24:27
38;Пролетая над гнездом кукушки;8.543;8.7;1975;https://www.kinopoisk.ru/film/336;2020-01-03 11:24:11
270;Проверка на дорогах;7.979;7.9;1971;https://www.kinopoisk.ru/film/43332;2020-01-03 11:24:19
44;Пробуждение;8.439;7.8;1990;https://www.kinopoisk.ru/film/2950;2020-01-03 11:24:11
69;Прислуга;8.164;8.1;2011;https://www.kinopoisk.ru/film/470553;2020-01-03 11:24:11
186;Принцесса Мононоке;8.152;8.4;1997;https://www.kinopoisk.ru/film/441;2020-01-03 11:24:11
53;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей  (ТВ);8.6;8.7;1981;https://www.kinopoisk.ru/film/77263;2020-01-03 11:24:11
119;Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра  (ТВ);8.381;8.5;1980;https://www.kinopoisk.ru/film/368937;2020-01-03 11:24:11
134;Привидение;8.165;7.0;1990;https://www.kinopoisk.ru/film/1991;2020-01-03 11:24:11
16;Престиж;8.523;8.5;2006;https://www.kinopoisk.ru/film/195334;2020-01-03 11:24:11
234;Поющие под дождем;8.051;8.3;1952;https://www.kinopoisk.ru/film/368;2020-01-03 11:24:19
196;Последний самурай;8.064;7.7;2003;https://www.kinopoisk.ru/film/6764;2020-01-03 11:24:11
